"";"volumeInfo.title";"volumeInfo.publisher";"volumeInfo.description";"volumeInfo.categories";"volumeInfo.language";"volumeInfo.authors"
"2545";"Physique tout-en-un PCSI - 5e éd.";"Dunod";"Les ""tout-en-un"" J'intègre vous proposent le cours de référence en classes préparatoires scientifiques, ainsi que de très nombreux exercices et problèmes entièrement corrigés. Un cours complet : Toutes les notions sont abordées dans le strict respect des programmes. De nombreux exemples, des illustrations et des remarques pédagogiques vous aident à bien comprendre le cours. Des approches documentaires vous sont proposées en complément du cours. Des exercices et problèmes d'entraînement Dans chaque chapitre, un grand nombre d'exercices pour bien assimiler le cours et vous entraîner. Les énoncés sont classés par difficulté progressive. Les problèmes sont en grande partie extraits de sujets de concours. Tous les corrigés détaillés Tous les exercices et problèmes sont intégralement résolus.";"Science";"fr";"Bernard Salamito,Stéphane Cardini,Damien Jurine,Marie-Noëlle Sanz"
"2546";"Physique statistique hors d'équilibre - Processus irréversibles linéaires";"EDP Sciences";"Alors que les systèmes à l'équilibre sont traités d'une façon unifiée par le formalisme de la fonction de partition, la physique statistique des systèmes hors d'équilibre couvre une grande variété de situations qui sont souvent sans lien apparent. L'originalité de cet ouvrage est de proposer un point de vue unifié pour l'ensemble des systèmes proches de l'équilibre : il dégage la profonde unité des lois qui les régissent et rassemble un grand nombre de résultats usuellement dispersés dans la littérature. Le lecteur trouvera dans ce livre un exposé pédagogique des résultats fondamentaux : origines physiques de l'irréversibilité, théorème de fluctuation-dissipation, équation de Boltzmann, réponse linéaire, relations d'Onsager, phénomènes de transport, équations de Langevin et de Fokker-Planck. L'organisation de cet ouvrage en fait aussi bien un manuel d'enseignement pour les phénomènes irréversibles qu'un livre de référence pour les chercheurs grâce à son caractère exhaustif. Issu d'un cours donné pendant de nombreuses années au DEA de Physique des solides de la région parisienne, ce livre s'adresse à un vaste public d'étudiants de master de physique et de chimie, et d'élèves des écoles d'ingénieurs. Il intéressera également les chercheurs dans des domaines aussi variés que la physique des solides, la mécanique des fluides, la physique des plasmas ou la mécanique céleste. L'ouvrage se compose de 17 chapitres ainsi organisés: -notions de base (chapitre 1) -la thermodynamique des processus irréversibles (chapitre 2) -l'introduction à la physique statistique hors d'équilibre (chapitres 3 et 4) -les approches cinétiques (chapitres 5 à 9) -le mouvement brownien (chapitres 10 et 11) -la théorie de la réponse linéaire (chapitres 12 à 14) -coefficients de transport (chapitres 15 à 17).";"Science";"fr";"Noëlle Pottier"
"2547";"Les zéolithes, un nanomonde au service de la catalyse";"EDP Sciences";"En un peu plus d'un demi-siècle, les zéolithes (appelées aussi tamis moléculaires) ont conquis une position clé dans notre vie quotidienne. Ces nanomatériaux ont des applications diverses et variées, allant de l'échange des cations durs en détergence au séchage des gaz et des solutions organiques, à la séparation par tamisage moléculaire et à la catalyse. Cette dernière application est la plus importante : les zéolithes sont en effet de remarquables catalyseurs qui permettent la production sélective et propre des molécules oléfiniques et benzéniques pour la Chimie, de carburants et lubrifiants de qualité, de précurseurs de médicaments, etc. et la destruction de polluants gazeux. Ce livre comprend 14 chapitres. Les trois premiers décrivent les principales zéolithes commerciales, leur synthèse et la caractérisation des propriétés qui ont fait leur succès dans la catalyse sélective de nombreuses réactions. Les trois suivants montrent sur des exemples démonstratifs que leur sélectivité exceptionnelle provient du réseau régulier de leurs cages et canaux de taille moléculaire contenant des centres actifs de caractéristiques bien définies. Les huit autres chapitres présentent en détail les grands procédés du raffinage du pétrole (craquage, hydroisomérisation, hydrocraquage), de la pétrochimie (production d'alkyl benzéniques, conversion du méthanol en éthylène et propène, oxydation et ammoximation, etc.), de la chimie fine et de la dépollution, utilisant des zéolithes comme catalyseurs. L'accent est mis sur la diversité des réactions et de leurs mécanismes (catalyse acide, basique, acidobasique, d'oxydation, bifonctionnelle) et sur l'apport économique et environnemental important des catalyseurs zéolithiques. Des annexes introduisent les notions fondamentales et appliquées indispensables aux lecteurs non spécialistes. Cet ouvrage est destiné aux chercheurs, débutants ou confirmés, universitaires ou industriels, du domaine de la catalyse. Il peut aussi permettre aux Professeurs d'IUT, de licence, de master, d'écoles d'Ingénieurs, etc. d'illustrer de façon claire le rôle des nanomatériaux dans la Chimie industrielle moderne.";"Science";"fr";"Fernando Ramôa Ribeiro,Michel Guisnet"
"2548";"Atlas des montagnes. Espaces habités, mondes imaginés";"Autrement";"Atlas numérique optimisé pour une lecture sur tablette. Le format EPUB3 permet de profiter de toutes les fonctionnalités de la lecture interactive : zoom HD sur les cartes, indexation, recherche in texte, navigation hypertextuelle, tables des matières interactives, textes en POP-UP, environnement ergonomique personnalisable. Plus de 90 cartes et infographies pour comprendre les liens tissés entre les sociétés et les montagnes du monde : une invitation à un grand voyage géographique. - Des clés d’interprétation pour saisir la place des montagnes dans le monde à travers les grands enjeux contemporains : le développement économique, l’environnement, l’aménagement, la géopolitique. - Une occasion de découvrir la diversité des montagnes : lieux d’aventures et de découvertes, habités ou simplement traversés, refuges de peuples opprimés ou théâtres de guerre. - Une ouverture sur les montagnes magiques et sacrées, rêvées ou cauchemardées, transcendées par les arts. Cet atlas se nourrit d’exemples choisis sur tous les continents, y compris ceux de l’imaginaire, et propose un regard neuf sur les pratiques associées aux mondes d’en haut.";"Science";"fr";"Xavier Bernier,Christophe Gauchon"
"2549";"Biodiversité et évolution du monde fongique";"EDP Sciences";"Difficile d’imaginer un monde sans champignon, ils sont partout... et pourtant... Que savons-nous d’eux, quand sont-ils apparus, quels sont leurs modes de vie ? Ce que nous commençons à percevoir du monde fongique est fascinant. Les champignons ne se limitent pas à ces chapeaux colorés que nous cueillons dans les bois au fil des saisons. Ces organismes vivants, aussi discrets que résistants, ont réussi le challenge de coloniser tous les milieux de la planète jusqu’au plus profond des océans. Nous avons exploité depuis des millénaires les capacités de ces travailleurs infatigables pour produire des aliments comme le pain, la bière, le vin ou le fromage. Que ferions-nous sans ces champignons qui fournissent de précieux antibiotiques pour traiter les infections, ou des immunosuppresseurs pour les greffes d’organes ? Ils ont noué des relations intimes avec le monde végétal et sans eux nos récoltes seraient catastrophiques. Nous commençons seulement à comprendre combien leur rôle est crucial dans la préservation de la biodiversité. Mais les champignons ont également leur côté obscur et peuvent aussi bien provoquer des dommages aux cultures que s’attaquer aux animaux et à notre propre espèce. Certains vont même jusqu’à s’en prendre à nos habitations ou nos livres. Pour répondre à toutes ces interrogations et tenter de mieux dévoiler ce « paradoxe fongique », nous vous invitons à plonger dans cet univers encore méconnu, riche de beauté, et qui nous fascine depuis l’enfance à travers les livres, les contes, tout comme il enchante nos promenades en forêt. Seule une parfaite connaissance de leur biologie pourra assurer l’avenir de l’humanité.";"Science";"fr";"Jean-Christophe Guéguen,David Garon"
"2550";"Biodiversité et évolution du monde animal";"EDP Sciences";"Que savons nous des animaux ? Quand sont-ils apparus sur Terre ? Notre défiance à leur égard ne met-elle pas en péril l’avenir de l’humanité ? Quel regard devons-nous porter et transmettre aux générations futures concernant la cause animale ? Notre histoire semble intimement liée à celle des animaux. Alors que ces derniers se ...";"Science";"fr";"Jean-Christophe Guéguen"
"2551";"Comprendre les communautés virtuelles d'enseignants";"Editions L'Harmattan";"Aujourd'hui, de nombreux groupes d'enseignants communiquent et échangent en réseau grâce à Internet, formant ainsi des communautés virtuelles. Cette réflexion est menée en adoptant trois points de vue : celui des enseignants qui y participent en décrivant le fonctionnement de plusieurs de ces communautés, celui des formateurs d'enseignants en analysant les conditions de participation et d'apprentissage en leur sein et enfin celui des chercheurs en éducation en tentant de comprendre et de formaliser ce phénomène.";"Science";"fr";"Bernadette Charlier,Amaury Daele"
"2552";"Les Épices";"Fayard";"La Reine de Saba, Sindbad le Marin, le Calife de Bagdad, Marco Polo... autant de figures légendaires évoquant les mystères de l'Orient fabuleux, mais aussi les épices. Tandis que les Arabes sillonnent l'océan Indien, le Portugais Vasco de Gama découvre, au XVIe siècle, la route maritime des Indes, la fameuse route des épices. S'engage alors une farouche compétition, où disparaissent tour à tour les monopoles de Gènes, de Venise, du Portugal et finalement des Pays-Bas. C'est à un Français, savant et aventurier, Pierre Poivre, au nom prédestiné, que revient le mérite d'avoir cassé le monopole hollandais ouvrant le marché des épices au commerce international. Mais, au-delà de l'histoire et des légendes qui entourent les épices, Jean-Marie Pelt va diagnostiquer ici leurs caractéristiques botaniques, pharmacologiques et, naturellement, culinaires. Ainsi, apprendra-t-on qu'il n'y a pas moins de six variétés de poivre, que la vanille n'est pas une gousse et toutes les façons d'utiliser nos herbes de Provence. Bien inspiré, le fin cordon bleu qui saura harmoniser les épices et créer entre elles de subtiles synergies de nature à emballer notre palais, voire à l'embraser. Art dans lequel excelle Jean Cabodi, restaurateur, qui nous livre ici, en prime, une vingtaine de ses recettes, délicatement épicées... Jean-Marie Pelt est professeur émérite de biologie végétale à l'Université de Metz, et président de l'Institut européen d'écologie. Il a notamment publié chez Fayard : Drogues et plantes magiques, Les Langages secrets de la nature, Le tour du monde d'un écologiste, Des légumes, Des fruits, Le Jardin de l'âme, La Cannelle et le Panda, La Terre en héritage, Les Nouveaux Remèdes naturels.";"Science";"fr";"Jean-Marie Pelt"
"2553";"Éléments de chimie physique";"De Boeck Supérieur";"Cet ouvrage couvre tous les domaines de base de la chimie physique. Une conception très pédagogique, un choix judicieux d'exercices, une présentation claire et attrayante constituent les qualités principales de ce manuel qui s'adresse aux étudiants de 1er cycle de chimie et de physique ainsi qu'aux étudiants des classes préparatoires aux grandes écoles. À la fin de chaque chapitre figurent des exercices supplémentaires dont les résultats sont regroupés en fin de volume.";"Science";"fr";"Peter William Atkins"
"2554";"Guide critique de l'évolution";"Belin";"Mes yeux me disent que le Soleil tourne autour de la Terre, mais l’astronomie m’enseigne que c’est l’inverse. Et cela ne fait plus débat. Mon intuition d’être humain me dit que l’homme est le summum de l’évolution, mais les sciences de l’évolution m’enseignent que l’homme est une espèce parmi des millions d’autres. Là, le discours scientifique passe moins bien, voire pas du tout. Au-delà de cet exemple, pourquoi la théorie de l’évolution est-elle si mal comprise du public ? Pourquoi fait-elle l’objet de si nombreuses attaques ? Ces questions sont au cœur du Guide critique de l’évolution. Ce livre ne critique pas la théorie contemporaine de l’évolution, mais la façon dont nous en parlons. Il présente le cadre scientifique, épistémologique et historique dans lequel on peut comprendre l’évolution, et donne les clés pour déjouer les pièges que notre langage et nos réflexes premiers nous tendent. Au-delà du cadre théorique, l’évolution est documentée par d’innombrables faits, et l’ouvrage en propose les meilleurs morceaux choisis. Avec plus de deux cents reconstitutions d’animaux et de paysages, il convie son lecteur à un formidable voyage dans l’histoire de la vie et lui fournit des données récentes concernant la sélection naturelle, l’adaptation, l’apparition des espèces, etc. Là aussi, les idées reçues sont mises à mal... Le Guide critique de l’évolution est donc un ouvrage riche. Facile et agréable à lire, il deviendra vite un outil indispensable pour les enseignants en sciences et en philosophie, mais aussi pour tous les citoyens qui sont curieux de comprendre le monde vivant, de le préserver, et de savoir pourquoi l’évolution suscite, en dehors des sciences, autant de passions et de combats aujourd’hui encore.";"Science";"fr";"Guillaume Lecointre,Corinne Fortin,Marie-Laure Le Louarn Bonnet"
"2555";"Les cours de Paul Arnaud - 4e éd.";"Dunod";"Cet ouvrage s'adresse aux étudiants des premières années d'études supérieures (Licences, PACES, Pharmacie, Classes préparatoires...) ; il peut être utile également aux candidats au CAPES de Sciences Physiques. Il couvre les bases de la chimie générale (structure et états de la matière, cinétique de sa transformation, thermodynamique, équilibres chimiques, acidobasicité, oxydoréduction, précipitation et complexation) et n'exige que des connaissances élémentaires en chimie. Cette quatrième édition a été actualisée pour être parfaitement complémentaire de la 8e édition du cours de Chimie générale de la collection Paul Arnaud. Plus de 300 exercices, accompagnés de leurs solutions détaillées, de méthodes et de conseils de résolutions, donnent au lecteur la possibilité d'aborder facilement, par la compréhension, la chimie générale.";"Science";"fr";"Paul Arnaud,Françoise Rouquérol,Gilberte Chambaud,Roland Lissillour,Abdou Boucekkine,Renaud Bouchet,Florence Boulc'h,Virginie Hornebecq"
"2556";"L'analyse de l'eau - 10e éd.";"Dunod";"Depuis plus de 50 ans, «Le Rodier» est la bible des professionnels de l'eau. C'est le seul ouvrage à expliciter toutes les méthodes d'analyse (chimique, microbiologique, etc.) applicables aux différents types d'eau (naturelles, usées, marine). Sous la coordination de Bernard Legube et avec pas moins de 15 collaborateurs, la 10/e édition de cet ouvrage constitue un ouvrage de synthèse présentant les techniques modernes d’analyses chimique, biologique et microbiologique des eaux. Prenant en compte les avancées technologiques les plus récentes dans le domaine de la chimie analytique, cette nouvelle édition présente un contenu fondamentalement renouvelé tout en conservant l’esprit et la forme des éditions précédentes. Enrichie de données sur les nombreux polluants organiques ciblés par les nouvelles réglementations, elle intègre les polluants émergents et s’appuie sur les nouveaux indicateurs biologiques permettant l’évaluation de l’état écologique des masses d’eau. L’interprétation des résultats analytiques occupe toujours une place de choix, contribuant à conférer à cet ouvrage une place de référence pour les professionnels de l’eau.";"Science";"fr";"Jean Rodier,Bernard Legube,Nicole Merlet"
"2557";"Guide d’hygiène vitale pour une maison saine";"Lulu.com";"Pourquoi un guide d'hygiene vitale pour une maison ? En faisant des etudes geobiologiques de maison, je me suis rendu compte que les gens nous appelaient souvent en dernier recours quand ils avaient essaye toutes les alternatives en sante. Ils auraient pu eviter certaines situations, s'ils avaient ete informes que l'impact de certains elements se trouvant dans leur environnement proche pouvaient alterer de maniere significative leur sante.Ce guide a pour objectif d'accompagner les habitants a la suite de notre passage afin de preserver la sante de leur maison.";"Science";"fr";"Benoit Tramblay"
"2558";"Inventeurs et savants noirs (nouvelle édition)";"Editions L'Harmattan";"Voici un livre au titre surprenant parce qu'il va à l'encontre de l'image qu'on se fait des Noirs dont on circonscrit la capacité créatrice et les accomplissements à des domaines bien précis : la musique, le sport, la danse. Sait-on que la première opération à cœur ouvert fut effectuée par le docteur Daniel Hale Williams en 1893 à Chicago ? L'ouvrage nous dévoile ainsi une nouvelle dimension de l'univers des Noirs dont l'apport à la science et à la technique modernes, bien qu'il ait été trop longtemps occulté, n'est pas moins appréciable.";"Science";"fr";"Yves Antoine"
"2559";"À la découverte des minéraux et pierres précieuses - 2ed.";"Dunod";"D’où vient la couleur des minéraux ? Comment commencer une collection ? Ces guides de nouvelle génération, publiés en partenariat avec le Muséum national d'histoire naturelle, ouvrent les portes de la nature à ceux qui veulent mieux la connaître. Cet ouvrage s'articule en deux parties. La première fournit les explications scientifiques et des conseils pratiques pour initier une collection. La seconde partie est consacrée à l’identification des espèces et variétés : plus de 110 fiches présentent les principaux minéraux, pierres fines et pierres précieuses. Pour aller plus loin, un carnet pratique donne les coordonnées d’associations, de musées, de sites web scientifiques grand public, ainsi qu’une bibliographie. Dans cette nouvelle édition augmentée, l'iconographie a été enrichie et deux nouvelles fiches ont été ajoutées (Natron et Borax, Nitratine et Nitre).";"Science";"fr";"François Farges"
"2560";"Physique tout-en-un PC-PC*";"Dunod";"Ce manuel tout-en-un, conforme à la réforme 2014, propose aux élèves de 2e année PC-PC* un cours complet accompagné de nombreux exercices et problèmes intégralement résolus. Rédigé par des enseignants de classes préparatoires, ce tout-en-un propose à l’étudiant une démarche pour s’approprier le programme, en mettant en oeuvre de nouvelles méthodes d’acquisition des connaissances. Un cours complet et conforme au nouveau programme 2014 : • Toutes les notions sont abordées dans le strict respect des programmes. • De nombreux exemples, des illustrations et des remarques pédagogiques vous aident à bien comprendre le cours. • Des approches documentaires vous sont proposées en complément du cours. Des exercices et problèmes d’entraînement • Dans chaque chapitre, un grand nombre d’exercices pour bien assimiler le cours et vous entraîner. • Les énoncés sont classés par difficulté progressive. • Les problèmes sont en grande partie extraits de sujets de concours. Tous les corrigés détaillés • Tous les exercices et problèmes sont intégralement résolus afin de pouvoir travailler en parfaite autonomie.";"Science";"fr";"Marie-Noëlle Sanz,Dominique Chardon,François Vandenbrouck,Bernard Salamito"
"2561";"Combien pèse un nuage ? (seconde edition 2014)";"EDP Sciences";"Les nuages contiennent d’énormes quantités d’eau. Comment font-ils pour ne pas nous tomber sur la tête, comme le redoutaient nos ancêtres les Gaulois ? Comme se forment-ils ? Comment se déplacent-ils ? Les réponses à ces quelques interrogations de bon sens nous familiarisent avec les bases de la météorologie, science des phénomènes atmosphériques. Comprendre les nuages, c’est comprendre le temps qu’il fait, du beau fixe aux catastrophes, mais aussi le cycle de l’eau et son influence sur le climat. Cette nouvelle édition, actualisée et enrichie des nouveaux moyens d’investigations, permettra à tout lecteur de découvrir les enjeux scientifiques cachés derrière la beauté de notre ciel. Jean-Pierre CHALON, expert auprès du réseau Européen de coopération en sciences et technologie (COST), a occupé les fonctions de directeur de l’École nationale de la météorologie, d’expert auprès de l’Organisation météorologique mondiale (OMM) et de Conseiller pour la communication scientifique auprès du PDG de Météo-France. Spécialiste des nuages et des précipitations, faisant sans cesse le lien entre les phénomènes que nous pouvons observer dans la nature et les forces qui les animent, il sait nous faire comprendre les lois de la physique qui régissent l’atmosphère.";"Science";"fr";"Jean-Pierre Chalon"
"2562";"L'État islamique en 100 questions";"Tallandier";"Que signifie l’acronyme Daech ? Qu’est-ce que le Califat ? Qu’est-ce qu’un État islamique ? Quelle est l’origine de cette organisation ? Qui est Al-Baghdadi ? Quels sont les groupes qui lui ont fait allégeance ? Comment l’EI finance-t-il ses activités ? Qui le soutient ? Qui sont les califettes ? Quelle est la relation de l’EI avec l’Arabie saoudite ? Pourquoi l’EI séduit-il les jeunes Français ? Après une année noire marquée par une double série d’attentats à Paris, en janvier et en novembre 2015, il était nécessaire de demander à l’un des meilleurs spécialistes français du monde musulman et du terrorisme de répondre aux nombreuses questions qui se posent au sujet de l’organisation « État islamique » (EI), également connue sous l’acronyme « Daech ». Tous les aspects sont abordés dans ce livre en 100 questions : de l’histoire à la religion en passant par les modes de recrutement, le financement, la géopolitique et la sécurité. Mathieu Guidère expose dans un style précis et didactique les tenants et les aboutissants de la nouvelle donne mondiale, à partir de son expérience du terrain et de sa connaissance approfondie des mouvements islamistes contemporains.";"Science";"fr";"Mathieu Guidère"
"2563";"Aide-mémoire Métallurgie - 3e édition - Métaux et alliages, comportements méca., trait. thermiques";"Dunod";"Cet aide-mémoire rassemble les informations de base essentielles au choix et à l’utilisation des métaux. Il rappelle les notions de métallurgie physique indispensables et aborde de manière détaillée : • la spécificité et le comportement des métaux ; • les propriétés mécaniques ; • les différents modes de durcissement ; • les principaux types d’alliages et leurs domaines d’utilisation ; • les traitements thermiques et les relations structures/propriétés. Cette troisième édition, actualisée des données normatives, avec des compléments sur le comportement mécanique et la tenue à la corrosion des métaux, ainsi que des éléments sur le zirconium et ses alliages, est destinée aux concepteurs et constructeurs qui utilisent des métaux. Cet ouvrage constitue également un outil de travail pour les étudiants et élèves ingénieurs en matériaux.";"Science";"fr";"Robert Lévêque,Guy Murry"
"2564";"Biologie moléculaire. Biochimie des communications cellulaires";"De Boeck Supérieur";"Ce livre présente une vision explicative, synthétique et vivante de la biologie moléculaire et de la biochimie des communications cellulaires. La Partie ""Biologie moléculaire"" expose, de l'ADN aux protéines, l'ensemble des processus qui conservent et perpétuent le génotype des organismes vivants dont dépend leur phénotype. La Partie ""Biochimie des communications cellulaires"" décrit les signaux, notamment les hormones et les neurotransmetteurs, et les voies de signalisation cellulaires qui permettent aux cellules de survivre et de remplir la mission biologique qui est la leur, de se diviser, de se différencier, voire de mourir. La Partie ""Biologie de la division cellulaire"" présente les ""grandes heures"" de la vie et de la mort des cellules, c'est-à-dire le cycle cellulaire par lequel elles naissent, l'apoptose par laquelle elles meurent et le cancer qui est la conséquence du dérèglement de ces deux mécanismes. De très nombreuses figures, en interaction avec un texte clair, précis et simple, permettent compréhension et mémorisation des connaissances pour les étudiants des 1er et 2e cycles universitaires en médecine, médecine vétérinaire, pharmacie, sciences de la vie ainsi que pour les étudiants de l'enseignement supérieur scientifique et paramédical.";"Science";"fr";"Christian Moussard"
"2565";"Thermodynamique";"De Boeck Supérieur";"Cet ouvrage est un outil de révision récapitulant les formules, les définitions et les concepts propres à la thermodynamique. Présenté sous la forme de synthèses, il vous aidera à contrôler vos connaissances et à affermir votre maîtrise des concepts clés de thermodynamique. Un index en fin d'ouvrage vous permettra de retrouver rapidement les notions sur lesquelles vous souhaitez faire le point. Plusieurs « focus » à la fin des chapitres proposent des approfondissements ou des compléments sur les points abordés et des paragraphes marqués d'un ! marquent les éléments les plus importants.";"Science";"fr";"Richard Taillet"
"2566";"Sols et environnement - 2e édition - Cours, exercices et études de cas - Livre+compléments en ligne";"Dunod";"Cette nouvelle édition actualisée est plus axée sur l'environnement et sur les problèmes spécifiques à l'économie et à la gestion des sols. Sont ainsi présentés les différents sols selon la nature de leur exploitation par les activités humaines. Si la vie végétale a besoin d'eau pour prospérer elle nécessite aussi un sol, qu'il faut préserver pour les générations futures. Cette nouvelle approche de l'étude du sol, en tant que valeur économique, est également étudiée dans cet ouvrage. Des compléments en ligne (exercices, images...) sont disponibles sur le site dunod.com.";"Science";"fr";"Michel-Claude Girard,Christian Walter,Jean-Claude Rémy,Jacques Berthelin,Jean-Louis Morel"
"2567";"Les Sciences de la vie dans la pensée française au XVIIIe siècle";"Albin Michel";"Voici la troisième édition de la thèse de Jacques Roger qui, dès sa parution en 1963, fut salué comme un « très important ouvrage » dont l'ambition était de « refaire l'histoire des découvertes scientifiques sur la génération des animaux, mais, aux confins des domaines respectifs de l'histoire de la philosophie et de l'histoire des sciences, d'écrire un chapitre de l'histoire des idées, capable de conduire à une meilleure connaissance de l'homme. » (La Revue d'histoire des sciences, XVII, no2, avril-juin 1964, Yves Laissus, p.190). Jacques Roger est un historien des sciences, né en 1920 et mort le 26 mars 1990. Agrégé de lettres classiques en 1943, Jacques Roger présente un parcours original, échappant « à la bipartition de l'histoire des sciences entre scientifiques et philosophes ». N'étant pas un historien de formation, il n'en a pas moins contribuer à introduire la méthode historique dans le domaine de l'histoire des sciences. Doyen de l'université de Tours, il devient professeur d'histoire des sciences à l'université Paris-I (1970), directeur à l'École des Hautes Études en Sciences Sociales, directeur du Centre international de synthèse et rédacteur en chef de la Revue de synthèse. Ses travaux, essentiellement consacrés au développement des sciences naturelles à l'époque moderne et à Buffon (1707-1788), font encore autorité.";"Science";"fr";"Jacques Roger"
"2568";"Relativité générale";"De Boeck Supérieur";"Une introduction détaillée à la théorie de la relativité générale d’Einstein Voici un ouvrage d'introduction à la théorie d'Einstein de la gravitation qui s'adresse avant tout à un public d'étudiants ou d'enseignants en physique au niveau du deuxième et troisième cycle. Reposant sur les cours donnés depuis plusieurs années à l'Université de Cambridge par les auteurs, il commence par une présentation moderne et pédagogique des outils mathématiques nécessaires, en particulier le calcul tensoriel sur un espace courbe. De nombreux exemples et applications détaillés Loin de se perdre dans un formalisme abstrait qui pourrait rebuter certains étudiants, l’ouvrage multiplie les exemples et applications détaillés (études de surfaces bidimensionnelles courbes, etc.). Les outils mathématiques sont ensuite appliqués en physique. La relativité restreinte et l'électromagnétisme relativiste étant les sujets les plus intéressants et les plus simples pour qui veut aborder la théorie d'Einstein, ils sont revus dans un esprit géométrique qui conduit naturellement à l'exposé des principes de base de la relativité générale. Les problèmes classiques de gravitation relativiste sont ensuite traités (géométrie de la solution de Schwarzschild et des trous noirs, cosmologie, ondes gravitationnelles). L'ouvrage se distingue par de nombreux calculs détaillés rarement présentés dans des ouvrages d'introduction (par exemple celui des orbites possibles autour d'un trou noir en rotation) ou en relation avec la recherche de pointe, particulièrement sur la cosmologie, domaine de prédilection des auteurs. Des outils pédagogiques Plusieurs appendices proposent des compléments d'information de nature mathématique, historique ou physique qui permettent au lecteur souhaitant approfondir son étude de la relativité générale de disposer de pistes intéressantes. Ce manuel facile d’accès contient plus de 300 exercices pour éclairer et pour étendre les sujets abordés dans le texte.";"Science";"fr";"Michael Hobson,George Efstathiou,Anthony N. Lasenby"
"2569";"Le ventre, notre deuxième cerveau";"Tallandier";"Le ventre recèle un trésor : un deuxième cerveau ! Si celui du haut pense, se projette et réfléchit, celui du bas, peuplé de milliards de neurones, veille à notre digestion et agit de son côté. Mieux encore, on sait désormais qu’une conversation secrète existe entre les deux. Notre ventre, extraordinaire écosystème bactérien en symbiose avec notre organisme, joue un rôle majeur dans nos émotions. N’est-ce pas la clé de l’efficacité de la médecine chinoise face à la nôtre, impuissante à soulager bien des maux ? Plus surprenant, l’activité du ventre influencerait notre personnalité et nos choix, nous rendrait timides ou téméraires. Ces découvertes ouvrent d’immenses espoirs thérapeutiques. Des maladies graves, comme celle de Parkinson, pourraient naître et se développer dans le cerveau du bas avant d’atteindre celui du haut. Cet ouvrage passe en revue ces fascinantes et troublantes découvertes et propose une série de conseils pratiques (alimentation, méditation, respiration, massages, probiotiques) pour nous aider à mieux connaître et contrôler notre ventre, et donc, notre bien-être.";"Science";"fr";"Fabrice Papillon,Héloise Rambert"
"2570";"La traversée des Alpes. Essai d'histoire marchée";"Editions Gallimard";"Le 6 septembre 2009, Antoine de Baecque se lance sur le GR5, un sac de dix-sept kilos sur le dos, pour un mois de randonnée solitaire à travers les Alpes, depuis le lac Léman jusqu’à la Méditerranée : six cent cinquante kilomètres, trente mille mètres de dénivelée, sept à neuf heures de marche quotidienne. De cette aventure, il a tiré un exercice d’histoire expérimentale mêlant études savantes sur les Alpes et l’aménagement de la montagne et recherche personnelle, par les pieds, attentive au corps. L’auteur raconte la genèse du GR5, tantôt chemin de pèlerinage, tantôt sentier commercial ou de contrebande, draille de la transhumance ou voie militaire. Il montre comment il s’est constitué en emblème, remontant à ses pionniers randonneurs, suivant ses aménageurs, proposant une typologie de ses usages et une sociologie de ses usagers. De plus, il fait le récit au jour le jour de cette grande traversée des Alpes qu’il a désiré éprouver lui-même. Il résulte de cette expérience une forme originale d’écriture de l’histoire, un essai d’histoire marchée. Née de l’avancée du randonneur, celle-ci rend compte de la progression le long d’un sentier et, dans la foulée, plonge dans l’histoire même de ce sentier, les strates multiséculaires laissées par les circulations alpines passées. Ainsi permet-elle au lecteur lui-même de suivre, au rythme de la marche, le chemin qui va dans la montagne. Prix Ptolémée 2014 Prix Augustin-Thierry 2014";"Science";"fr";"Antoine de Baecque"
"2571";"Manifeste pour une géographie environnementale";"Presses de Sciences Po";"La géographie française s’est toujours refusée à aborder la question écologique sous un angle véritablement politique. Pourtant, devant les crises environnementales qui se multiplient et face au spectre de l’écolo-scepticisme qui hante la pensée politique française, la géographie peut et doit se refonder. Ce Manifeste pour une géographie environnementale marque une volonté collective de dépasser les pratiques individualisées pour interroger la place épistémologique et politique d’une géographie confrontée à l’irruption de l’environnement. Il aborde l’histoire de la discipline dans ses relations aux politiques de la nature, développe des comparaisons internationales, notamment avec la political ecology, et introduit les grands domaines d’investigation d’une géographie à l’appareillage conceptuel renouvelé par les politiques de l’Anthropocène. Il montre que les géographes doivent abandonner une position surplombante pour accepter que leur discipline soit transformée par l’environnement, seul moyen pour elle d’être scientifi quement et politiquement pertinente dans le monde d’aujourd’hui. ne cesse de se renégocier au fi l du temps, des événements de la vie, des jeux entre conscient et inconscient, entre individu et collectivité, entre passé et présent... Dans cette chaîne permanente de recompositions personnelles, comment les croyances évoluent-elles ? À quelles injonctions obéissent les ruptures ou les continuités dans la transmission des convictions politiques ? Réfl exions croisées de sociologues, politistes, philosophes, historiens et psychologues sur nos identités politiques de plus en plus mobiles, les contributions de cet ouvrage donnent à voir les ressorts des changements politiques qui façonnent l’histoire comme les histoires de vie. Il met au jour la manière dont le politique est travaillé par le temps, qu’il s’agisse du temps collectif des générations ou de celui, plus intime, des âges de la vie.";"Science";"fr";"Denis Chartier,Estienne Rodary"
